z,g,w
0.0,12.719688521700876,0.08402354795824594
0.05102040816326531,12.580077403742894,0.08763427247671551
0.10204081632653061,12.407999070996707,0.09123343545416407
0.15306122448979592,12.205733445480929,0.09484091725894916
0.20408163265306123,11.97682810148921,0.09847234652853962
0.25510204081632654,11.725448022007003,0.10214017825363643
0.30612244897959184,11.455942317332086,0.1058544735919586
0.35714285714285715,11.17257284518608,0.1096233962798983
0.40816326530612246,10.879331927605259,0.11345366747419769
0.45918367346938777,10.579833257280248,0.11735092519104723
0.5102040816326531,10.27726711753107,0.1213199277735412
0.5612244897959184,9.974385126844444,0.1253647617485094
0.6122448979591837,9.673511863924551,0.12948896750710517
0.6632653061224489,9.376569565803642,0.13369567499785448
0.7142857142857143,9.085112224208713,0.1379877096954328
0.7653061224489797,8.80037027990509,0.14236760884385308
0.8163265306122449,8.523289304638311,0.1468376814097732
0.8673469387755102,8.25457190676741,0.15139999021536837
0.9183673469387755,7.9947026826512815,0.15605662218382824
0.9693877551020409,7.743997262011085,0.16080944128307995
1.0204081632653061,7.50262348851547,0.16566026739739353
1.0714285714285714,7.27063112147411,0.17061080288757116
1.1224489795918369,7.0479737894437156,0.17566273004650174
1.1734693877551021,6.8345292578154915,0.18081763671356202
1.2244897959183674,6.630114659943388,0.1860771093898244
1.2755102040816326,6.434502780964744,0.19144267760935477
1.3265306122448979,6.24743237011982,0.19691583730909287
1.3775510204081634,6.068617392071996,0.20249806373552587
1.4285714285714286,5.897757374565457,0.2081908000272179
1.4795918367346939,5.734540060383091,0.21399549785845237
1.5306122448979593,5.578649426869167,0.21991358891231352
1.5816326530612246,5.429770205268508,0.2259464600807121
1.6326530612244898,5.287588372635098,0.23209551445840138
1.683673469387755,5.15179652408892,0.23836214900778674
1.7346938775510203,5.022093910125603,0.2447477211361985
1.7857142857142858,4.898189086460589,0.25125360869993746
1.836734693877551,4.77980057711425,0.25788116050980936
1.8877551020408163,4.666656462598856,0.26463173225635295
1.9387755102040818,4.558496853972698,0.27150668957547686
1.989795918367347,4.455072113156584,0.27850732376878135
2.0408163265306123,4.356144599289979,0.2856350129713823
2.0918367346938775,4.26148760138677,0.29289097533026087
2.142857142857143,4.170884564801494,0.30027659300830645
2.193877551020408,4.08413067862747,0.30779316855056066
2.2448979591836737,4.001030794897682,0.3154420055782442
2.295918367346939,3.921399637707594,0.32322439857967766
2.3469387755102042,3.845062314964861,0.3311416296032225
2.3979591836734695,3.7718522848099365,0.33919498134856013
2.4489795918367347,3.7016126150030084,0.3473857234935673
2.5,3.6341941105934144,0.3557151276349871
